Type,Value
ip,213.145.86.112
sha256,918fa52ae45ed60ba7cc8bdc99c3cbe9ab92e0375ec31fc05d0d4513be11c593
sha256,be99857449d2856dd5a84e21c8a3d5e0e01456adb44062ddec5a6b4970d8d42c
url,https://213.145.86.112/t/pixel.gif
url,https://213.145.86.112/cdn/chunks/polyfill-7e2b.min.js
url,https://213.145.86.112/t/event
domain,ms365-device.com
domain,ms365-live.com
domain,m365-owa.com
domain,owa-ms365.com
ip,31.57.243.154
ip,38.146.28.75
ip,38.146.28.132
ip,104.194.159.150
ip,107.189.26.194
ip,213.145.86.112
